청크번호: 1 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 이 약관에서 사용하는 용어의 뜻은 다음과 같습니다.

청크번호: 2 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 1. 가지급금: 자동차사고로 인하여 소요되는 비용을 충당하기 위하여, 보험회사가 피보험자에 대한 보상책임이나 피해자에 대한 손해배상책임을 확정하기 전에 그 비용의 일부를 피보험자 또는 피해자에게 미리 지급하는 것을 말합니다.

청크번호: 3 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 2. 단기요율: 보험기간이 1년 미만인 보험계약에 적용되는 보험요율을 말합니다.

청크번호: 4 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 3. 마약 또는 약물 등: 「도로교통법」 제45조에서 정한 '마약, 대마, 향정신성의약품 그 밖의 행정자치부령이 정하는 것'을 말합니다.

청크번호: 5 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 4. 무면허운전(조종): 「도로교통법」 또는 「건설기계관리법」의 운전(조종)면허에 관한 규정에 위반되는 무면허 또는 무자격운전(조종)을 말하며, 운전(조종)면허의 효력이 정지된 상황이거나 운전(조종)이 금지된 상황에서 운전(조종)하는 것을 포함합니다.

청크번호: 6 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 5. 무보험자동차: 피보험자동차가 아니면서 피보험자를 죽게 하거나 다치게 한 자동차로서 다음 중 어느 하나에 해당하는 것을 말합니다. 이 경우 자동차라 함은 「자동차관리법」에 의한 자동차, 「건설기계관리법」에 의한 건설기계, 「군수품관리법」에 의한 차량, 「도로교통법」에 의한 원동기장치자전거 및 개인형이동장치, 「농업기계화촉진법」에 의한 농업기계를 말하며, 피보험자가 소유한 자동차를 제외합니다.

청크번호: 7 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 가. 자동차보험 「대인배상II」나 공제계약이 없는 자동차

청크번호: 8 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 나. 자동차보험 「대인배상II」나 공제계약에서 보상하지 않는 경우에 해당하는 자동차

청크번호: 9 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 다. 이 약관에서 보상될 수 있는 금액보다 보상한도가 낮은 자동차보험의 「대인배상II」나 공제계약이 적용되는 자동차. 다만, 피보험자를 죽게 하거나 다치게 한 자동차가 2대 이상이고 각각의 자동차에 적용되는 자동차보험의 「대인배상II」 또는 공제계약에서 보상되는 금액의 합계액이 이 약관에서 보상될 수 있는 금액보다 낮은 경우에 한하는 그 각각의 자동차

청크번호: 10 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 라. 피보험자를 죽게 하거나 다치게 한 자동차가 명확히 밝혀지지 않은 경우 그 자동차(「도로교통법」에 의한 개인형이동장치는 제외)

청크번호: 11 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 6. 부분품, 부속품, 부속기계장치

청크번호: 12 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 가. 부분품: 엔진, 변속기(트랜스미션) 등 자동차가 공장에서 출고될 때 원형 그대로 부착되어 자동차의 조성부분이 되는 재료를 말합니다.

