"국가별","항목","단위","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월","2023.06 월","2023.07 월","2023.08 월","2023.09 월","2023.10 월","2023.11 월","2023.12 월",
"아프가니스탄","중앙은행 정책 금리","",".119",".112",".106",".12",".12",".129",".144",".15",".15",".151",".152",".152",".152",".155",".154",".154",".154",".155",".156",".25",".19",".36",".5",".5",".57",".62",".63",".63",".63",".628",".6",".6",".623",".645",".674",".807",".9",".996","1","","3.658","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"아프가니스탄","외환 시중 금리","","1.58337","1.6894","1.72048","1.93652","2.0429","1.96749","1.98177","1.96561","2.02324","2.03258","2.15308","2.15467","2.20728","2.25082","2.33729","2.32598","2.40554","2.69152","2.7699","2.507","2.1644","1.9257","1.89005","1.91378","1.83502","1.60424","1.28627","1.12835","1.25563","1.10825",".40785",".99787",".74769",".81978",".38599","1.22383",".58053",".35083",".46479",".71642",".43058","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"아프가니스탄","저축율","","1.4622","2.91697","2.91828","1.47397","1.42644","1.66652","1.1838","1.35618","1.10643",".93583","1.72255","1.45044","1.53416","1.62649","2.46035","1.65737","1.17124","1.3203",".9941","1.2675",".0593","1.0681","1.06072",".05582","1.9441","1.81423",".96651",".7744",".77465","1.37257","1.38025","1.63417","1.34896","1.29767","1.14346",".81459",".66294","1.12289","1.1276",".9362","1.35403","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"아프가니스탄","외환저축율","","1.07253","1.06638",".99525",".92977",".89335",".24017",".86263",".70996",".77779",".63914",".69959",".89938","1.58165",".70201",".94282",".37115",".90411",".80065",".3768",".7289",".4992",".7926",".67043",".5046",".44066","1.56124","2","2.75279","1.22929","1.40257","1.4581",".63511",".73695",".81536",".86346",".60543",".7146",".73352",".61985",".50967",".86049","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"아프가니스탄","외환예금금리","","1.08708","1.57346","1.0518","1.02325","1.05773","1.02358","1.23923","1.36506","1.13307","1.24287","1.24409","1.18558","1.10374","1.07625","1.05311","1.14762","1.1748","1.67342","1.5765","1.5588","1.5451","1.4996","1.54121","1.13504","2","","","","","","","","1.94952","1.99312","1.04863","1.88628","1.26372",".65952","1.70221","1.35095","1.36822","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"아르메니아","중앙은행 정책 금리","","6","6","6","6","6","6","6","6","6","6","6","6","5.75","5.75","5.75","5.75","5.75","5.75","5.75","5.75","5.5","5.5","5.5","5.5","5.5","5.5","5.25","5","5","4.5","4.5","4.5","4.25","4.25","4.25","5.25","5.25","5.5","5.5","5.5","6","6.5","6.5","7","7.25","7.25","7.25","7.75","7.75","8","9.25","9.25","9.25","9.25","9.25","9.5","10","10","10.5","10.75","10.75","10.75","10.75","10.75","10.75","10.5","10.5","10.25","9.75","9.75","9.5","9.25",
"아르메니아","시장금리","","6.03091","5.8136","5.98309","5.85666","6.19858","6.078","6.16342","6.14517","6.10871","6.0552","6.16209","6.23126","6.06099","5.75386","5.79783","5.89451","5.79006","5.81616","5.7855","5.77413","5.64592","5.56294","5.47291","5.53534","5.54401","5.48628","5.34804","5.24014","5.0794","4.87989","4.50119","4.45642","4.33396","4.23861","4.27318","4.91992","5.46252","5.56458","5.49549","5.52228","6.49563","6.58917","6.97539","7.3303","7.42537","7.6365","7.33865","7.42166","7.71086","8.16318","8.4049","9.30898","9.52415","9.39084","9.3543","9.70073","10.0238","10.2678","10.64542","10.88047","11.17333","11.1023","10.92646","10.72784","10.77154","10.71733","10.59316","10.33236","10.05282","9.88213","9.63474","9.57232",
"아르메니아","초단기 국채율","","6.169","6.1476","6.1622","6.1552","6.2245","6.2296","6.2681","6.2766","6.2795","6.2557","6.2258","6.2269","6.2258","6.2497","6.1812","6.1742","6.0544","6.0574","6.154","6.0203","5.9746","5.8438","5.8008","5.7071","5.6491","5.62405","5.6134","5.87348","5.94634","5.9673","5.7075","5.7454","5.68114","5.7445","5.9067","6.40645","6.83212","6.8952","6.9414","6.9392","6.9933","7.3499","7.9076","8.2723","8.5322","8.8136","9.011","9.0983","9.2489","9.227","10.1878","10.5411","10.4636","10.5928","10.7542","10.5163","10.7294","11.1684","11.8159","11.81","11.7765","11.6242","11.7412","11.6369","11.5931","11.4168","11.1818","10.48","10.4337","10.5667","10.586","10.5549",
"아르메니아","예금금리","","8.8244","8.7319","8.39077","8.96645","8.47587","8.6425","8.69171","9.13761","8.62744","8.80275","8.1048","8.56859","8.95433","8.64894","8.99257","8.85433","8.85951","8.25205","8.21772","8.30392","7.36659","8.51183","8.41615","8.46548","9.10009","8.64838","7.22915","8.07518","8.31143","7.92117","8.14276","8.22105","8.41428","7.9414","8.00497","7.40484","8.34319","8.18457","7.74229","8.25814","8.33638","8.01586","8.38012","8.42315","8.27735","8.42962","8.23982","8.26783","8.39383","8.54173","9.2964","9.21071","8.46049","8.12876","8.01379","8.19011","7.94848","8.34294","8.54304","8.62016","8.4331","8.23948","8.18876","8.49001","8.28299","8.35466","8.22608","8.56972","8.60428","8.23245","8.57511","8.15535",
"아르메니아","대출금리","","13.85045","14.18812","13.20186","12.34345","13.73475","12.25527","11.87168","12.75336","12.4342","12.94504","12.35793","11.58039","12.93577","12.69976","12.56645","12.2616","11.60655","12.1444","12.2894","12.17058","12.01184","12.00851","11.54272","11.46628","11.54606","11.92313","12.08636","11.48655","11.69307","11.84067","11.594","11.39051","11.74","11.47853","11.19069","11.46855","11.54921","12.26528","11.96199","11.6976","11.4635","10.41164","11.82599","11.93704","12.2081","11.77929","11.76581","12.27744","12.13617","12.07966","12.49109","11.48932","11.5369","11.27473","11.69939","11.53537","11.54758","11.72546","11.09051","12.02678","11.75873","11.81814","12.28069","13.12803","12.60003","12.13963","12.29666","12.32838","12.73258","12.33627","12.70174","12.50198",
