"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 12- 01","32.86","35.45","36.88","31.82","195.06M","-7.10%"
"2022- 11- 01","35.37","34.33","36.00","30.98","162.84M","4.24%"
"2022- 10- 01","33.93","27.98","35.08","27.20","269.24M","20.92%"
"2022- 09- 01","28.06","30.65","33.74","27.80","220.70M","-9.69%"
"2022- 08- 01","31.07","31.78","35.79","31.06","191.49M","-2.30%"
"2022- 07- 01","31.80","29.23","33.08","28.14","283.77M","9.77%"
"2022- 06- 01","28.97","42.13","42.30","28.09","341.28M","-30.51%"
"2022- 05- 01","41.69","42.95","43.97","35.70","265.02M","-3.11%"
"2022- 04- 01","43.03","39.67","46.27","36.17","329.79M","8.74%"
"2022- 03- 01","39.57","39.50","40.26","29.75","419.28M","-0.88%"
"2022- 02- 01","39.92","39.80","45.14","37.47","265.65M","0.58%"
"2022- 01- 01","39.69","39.79","42.54","35.88","276.24M","1.56%"
"2021- 12- 01","39.08","36.87","39.89","33.40","347.20M","7.96%"
"2021- 11- 01","36.20","39.15","45.52","34.60","276.24M","-7.49%"
"2021- 10- 01","39.13","43.95","46.00","38.81","246.41M","-8.17%"
"2021- 09- 01","42.61","40.57","45.06","38.80","225.97M","5.37%"
"2021- 08- 01","40.44","40.04","41.80","37.31","252.18M","1.35%"
"2021- 07- 01","39.90","43.50","44.54","37.56","280.88M","-7.77%"
"2021- 06- 01","43.26","48.13","48.54","42.58","228.70M","-9.27%"
"2021- 05- 01","47.68","47.19","48.20","42.94","219.84M","1.62%"
"2021- 04- 01","46.92","48.59","51.82","43.34","262.76M","-2.82%"
"2021- 03- 01","48.28","49.47","52.28","43.01","311.39M","0.71%"
"2021- 02- 01","47.94","38.35","50.20","37.42","253.34M","26.29%"
"2021- 01- 01","37.96","40.17","42.64","37.74","252.90M","-5.60%"
"2020- 12- 01","40.21","40.79","43.76","38.84","276.31M","-0.10%"
"2020- 11- 01","40.25","30.62","42.19","29.67","386.31M","31.36%"
"2020- 10- 01","30.64","30.99","34.04","28.74","365.09M","0.20%"
"2020- 09- 01","30.58","30.02","35.07","27.92","464.98M","-0.88%"
"2020- 08- 01","30.85","24.85","32.21","24.38","465.72M","23.55%"
"2020- 07- 01","24.97","29.02","29.85","24.42","571.32M","-10.98%"
"2020- 06- 01","28.05","25.33","37.24","25.08","1.33B","11.27%"
"2020- 05- 01","25.21","24.95","27.85","17.51","1.17B","-2.70%"
"2020- 04- 01","25.91","26.59","27.60","20.76","1.35B","-9.18%"
"2020- 03- 01","28.53","46.22","49.97","19.10","823.84M","-38.15%"
"2020- 02- 01","46.13","56.20","60.03","45.03","165.24M","-17.24%"
"2020- 01- 01","55.74","58.93","62.48","55.43","173.26M","-4.69%"
"2019- 12- 01","58.48","57.25","59.92","54.54","100.97M","2.04%"
"2019- 11- 01","57.31","55.55","58.43","55.12","105.66M","4.05%"
"2019- 10- 01","55.08","58.05","58.68","51.07","183.32M","-4.37%"
"2019- 09- 01","57.60","57.44","60.58","56.65","107.85M","-0.45%"
"2019- 08- 01","57.86","61.31","61.77","55.57","112.19M","-5.21%"
"2019- 07- 01","61.04","57.30","63.44","57.25","145.66M","7.56%"
"2019- 06- 01","56.75","51.48","57.42","51.41","100.21M","10.19%"
"2019- 05- 01","51.50","58.20","58.51","51.31","87.10M","-11.65%"
"2019- 04- 01","58.29","51.82","58.99","51.52","148.51M","12.86%"
"2019- 03- 01","51.65","49.37","52.08","48.22","166.81M","4.18%"
"2019- 02- 01","49.58","49.63","52.22","49.54","128.87M","0.30%"
"2019- 01- 01","49.43","49.25","50.45","45.08","199.94M","-0.94%"
