"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 12- 01","110.30","111.64","112.07","102.37","376.51M","-0.93%"
"2022- 11- 01","111.34","112.37","114.66","107.48","368.06M","0.48%"
"2022- 10- 01","110.81","90.04","112.91","89.72","431.63M","26.92%"
"2022- 09- 01","87.31","94.42","99.19","83.89","411.41M","-8.66%"
"2022- 08- 01","95.59","94.79","101.56","86.28","424.56M","-1.38%"
"2022- 07- 01","96.93","86.74","97.51","80.69","427.92M","13.18%"
"2022- 06- 01","85.64","97.02","105.57","83.52","660.32M","-10.79%"
"2022- 05- 01","96.00","85.01","99.78","83.40","659.84M","12.61%"
"2022- 04- 01","85.25","81.99","89.80","79.29","505.64M","3.22%"
"2022- 03- 01","82.59","78.77","91.50","76.25","853.55M","5.32%"
"2022- 02- 01","78.42","76.45","83.08","74.03","628.66M","3.24%"
"2022- 01- 01","75.96","61.24","76.42","61.21","607.51M","24.14%"
"2021- 12- 01","61.19","60.90","63.35","57.96","433.28M","2.26%"
"2021- 11- 01","59.84","65.07","66.38","59.54","416.07M","-7.18%"
"2021- 10- 01","64.47","59.41","65.94","59.41","435.21M","9.61%"
"2021- 09- 01","58.82","54.49","60.48","52.96","482.96M","7.89%"
"2021- 08- 01","54.52","57.55","59.06","52.10","406.38M","-5.30%"
"2021- 07- 01","57.57","64.33","64.42","54.60","435.92M","-8.73%"
"2021- 06- 01","63.08","59.45","64.93","59.45","526.46M","8.07%"
"2021- 05- 01","58.37","57.98","64.02","57.74","521.30M","1.97%"
"2021- 04- 01","57.24","56.32","59.48","54.30","457.86M","2.53%"
"2021- 03- 01","55.83","56.47","62.55","54.45","790.80M","2.69%"
"2021- 02- 01","54.37","45.58","57.24","44.29","544.00M","21.25%"
"2021- 01- 01","44.84","41.45","51.08","41.00","594.84M","8.78%"
"2020- 12- 01","41.22","38.96","44.47","38.34","603.95M","8.10%"
"2020- 11- 01","38.13","33.14","42.08","32.53","704.01M","16.89%"
"2020- 10- 01","32.62","33.79","35.95","31.11","630.47M","-4.98%"
"2020- 09- 01","34.33","39.75","40.03","33.76","590.86M","-14.05%"
"2020- 08- 01","39.94","42.05","46.42","39.31","449.50M","-5.09%"
"2020- 07- 01","42.08","44.49","45.38","40.91","447.16M","-5.90%"
"2020- 06- 01","44.72","45.32","55.36","43.16","584.99M","-1.65%"
"2020- 05- 01","45.47","45.63","47.15","40.20","477.23M","-2.15%"
"2020- 04- 01","46.47","36.86","47.68","36.34","791.63M","22.39%"
"2020- 03- 01","37.97","52.59","54.15","30.11","1.17B","-26.19%"
"2020- 02- 01","51.44","61.38","63.01","48.01","479.92M","-17.19%"
"2020- 01- 01","62.12","70.24","71.37","61.86","359.25M","-10.98%"
"2019- 12- 01","69.78","68.50","70.54","67.52","286.70M","2.42%"
"2019- 11- 01","68.13","68.39","73.12","67.32","249.63M","0.83%"
"2019- 10- 01","67.57","70.83","70.91","66.31","244.84M","-4.31%"
"2019- 09- 01","70.61","67.89","75.18","67.63","217.79M","3.11%"
"2019- 08- 01","68.48","73.74","74.27","66.53","277.65M","-7.91%"
"2019- 07- 01","74.36","77.13","77.93","74.18","186.92M","-2.96%"
"2019- 06- 01","76.63","71.09","77.76","70.97","218.96M","8.28%"
"2019- 05- 01","70.77","79.94","80.26","70.63","250.10M","-11.85%"
"2019- 04- 01","80.28","81.23","83.49","79.56","219.52M","-0.64%"
"2019- 03- 01","80.80","79.38","82.00","77.86","272.46M","2.24%"
"2019- 02- 01","79.03","74.92","79.75","72.73","245.07M","7.85%"
