"계정항목별",2018.1/4,2018.2/4,2018.3/4,2018.4/4,2019.1/4,2019.2/4,2019.3/4,2019.4/4,2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4,2023.3/4,2023.4/4
"농림어업",7962.1,8105.7,8383.6,8698.7,8196.9,7915.3,7691.4,8295.7,8568.4,8042.8,9097.7,8559.0,9679.6,9813.0,9676.2,9432.8,8932.3,9142.4,8937.5,8476.4,8136.2,9072.0,8980.8,9175.2
"광공업",123699.6,127344.1,130935.5,125799.2,122442.3,122673.8,121931.2,120362.8,118990.0,116011.9,122873.7,124899.0,129435.2,130150.5,135797.0,136655.1,141355.8,141162.5,139990.0,133433.6,132995.2,130393.7,138792.4,143564.5
"광업",546.9,539.2,507.8,534.4,508.4,504.2,490.0,506.3,472.6,451.6,442.8,490.3,455.0,468.4,478.5,466.5,477.1,453.0,460.4,446.3,574.7,571.1,560.9,589.3
"제조업",123152.7,126804.9,130427.7,125264.9,121933.9,122169.6,121441.2,119856.5,118517.4,115560.4,122430.9,124408.7,128980.2,129682.1,135318.6,136188.7,140878.7,140709.5,139529.6,132987.3,132420.5,129822.7,138231.5,142975.2
"음식료품 제조업",5882.7,5730.2,5815.4,5928.1,5998.7,6161.4,6129.8,6129.4,6106.7,6120.5,6725.8,6854.2,6822.4,6432.1,6309.6,6216.0,6357.2,6312.0,6297.3,6452.0,7252.9,6992.1,7923.4,7337.4
"섬유 및 가죽제품 제조업",3950.9,3992.5,4015.3,3952.3,3930.6,4001.6,3953.1,3953.8,3861.6,3444.7,4019.9,3803.9,3768.0,3420.3,3402.0,3288.9,3352.9,3315.7,3275.9,3285.8,3893.9,3809.1,4018.7,3624.8
"목재, 종이, 인쇄 및 복제업",3638.5,3757.1,3800.2,3861.2,3769.1,3678.1,3680.3,3748.8,3688.2,3474.7,3639.0,3643.8,3677.5,3835.3,3971.1,3939.6,4015.4,3979.1,3815.1,3719.0,4113.4,4002.7,4093.3,3834.0
"코크스 및 석유정제품 제조업",3635.0,4389.3,3896.2,2936.5,3329.5,3501.3,3368.7,3622.3,1451.2,2051.8,1937.4,2232.3,2321.6,2669.8,4213.6,4668.5,6222.3,7999.9,7308.6,6719.9,6802.7,4434.8,9663.1,9214.4
"화학물질 및 화학제품 제조업",18123.8,18894.0,19389.5,18701.3,18714.4,18719.7,18964.4,18414.0,18456.1,18527.4,19789.0,20929.1,22538.1,22190.4,22668.5,22969.8,22454.7,21670.0,21061.3,20745.1,22251.8,20699.8,20330.9,20605.4
"비금속광물제품 제조업",3235.2,3284.8,3234.2,3343.2,3199.9,3181.9,3204.1,3145.3,3030.8,2947.5,3101.3,3181.2,3181.9,3025.5,3041.9,2874.9,3069.3,3025.5,3351.6,3061.9,3718.3,3549.8,3324.7,3261.0
"1차금속 제조업",7193.7,7048.9,7455.5,7793.7,7421.8,7238.6,7082.0,6699.9,6822.8,6476.3,6830.1,7280.8,7767.3,10084.2,11352.8,12261.2,13237.0,12846.9,11164.0,9964.8,10952.2,11075.7,10426.8,10291.4
"금속가공제품 제조업",8700.8,8830.3,9145.6,9505.8,9087.5,9219.7,9099.5,9454.6,9125.4,8103.3,8922.6,8965.2,9300.7,9601.3,10117.0,9892.5,10341.4,10408.2,10824.4,11741.7,11420.9,11111.1,11207.7,12012.4
"컴퓨터, 전자 및 광학기기 제조업",36362.2,38163.2,39614.8,34230.8,32663.5,31644.5,31060.6,28718.8,31512.8,31350.2,32417.3,32062.1,33613.2,35093.3,38013.4,39857.8,37657.4,38286.9,35053.0,30742.2,21283.9,23898.8,25931.7,32153.3
"전기장비 제조업",7002.0,7017.2,7508.3,7776.9,7487.0,7742.8,7888.1,7588.8,7571.6,7602.6,8137.5,8343.0,8448.8,8041.4,8072.3,8399.1,8634.0,8260.8,9102.7,9057.0,9482.0,9279.6,10002.4,9786.2
"기계 및 장비 제조업",11004.8,10872.4,11278.1,11099.0,10974.1,11045.4,11216.2,12035.9,11613.4,11247.6,11627.5,11761.9,11836.9,11287.0,11444.5,10954.1,11328.0,10606.9,12153.9,12363.6,12389.2,11465.8,11710.5,12794.4
"운송장비 제조업",11540.0,11845.7,12162.5,13209.1,12493.7,13218.9,12985.3,13448.2,12434.9,11420.4,12485.3,12503.0,12633.5,11214.8,9933.1,8145.9,11484.1,11252.3,13232.9,12191.0,15588.4,16487.7,16076.9,14855.7
"기타 제조업 및 산업용 장비 수리업",2883.1,2979.3,3112.1,2927.0,2864.0,2815.8,2809.0,2896.8,2842.0,2793.3,2798.1,2848.2,3070.3,2786.8,2778.7,2720.4,2724.9,2745.1,2888.9,2943.3,3270.8,3015.7,3521.3,3204.9
"전기, 가스 및 수도사업",9066.2,8650.3,8838.3,8598.6,9041.4,9536.0,8852.4,9214.5,10583.0,10447.9,10867.0,11171.7,10445.5,10379.3,8279.4,6572.3,5092.4,5293.7,2793.0,4667.9,8580.7,9262.7,10609.9,11770.7
"전기업",4629.0,4511.8,4445.8,3921.7,4185.0,4927.3,4770.3,4405.6,5428.5,5590.9,6253.6,6389.2,5855.0,5179.5,3346.5,1651.8,-1015.5,169.6,-1775.7,-1495.9,-687.3,1866.2,2998.9,4267.7
