"계정항목별",2018.1/4,2018.2/4,2018.3/4,2018.4/4,2019.1/4,2019.2/4,2019.3/4,2019.4/4,2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4,2023.3/4,2023.4/4
"농림어업",6261.1,8416.4,8122.0,10350.6,6456.2,8276.8,7393.7,9972.7,6779.9,8464.4,8677.5,10346.1,7659.3,10347.0,9178.7,11416.5,7080.0,9657.3,8481.0,10270.3,6457.3,9590.9,8519.8,11115.1
"재배업",3861.0,4972.0,5245.3,7444.1,3999.3,4955.1,4918.1,7523.8,4353.7,4774.4,5735.0,7345.8,4714.7,6008.6,5954.3,8335.3,4575.3,5767.4,5982.0,7919.8,4435.6,6315.0,6435.2,9147.8
"축산업",1396.7,1943.3,1424.4,1109.5,1492.6,1981.4,1184.3,852.9,1525.9,2226.1,1495.1,1242.4,2033.0,2885.6,1935.2,1551.4,1739.6,2560.7,1307.9,950.1,1245.0,1949.8,906.2,471.8
"임업",187.8,673.8,750.1,844.6,173.6,610.8,661.4,756.4,174.3,562.2,630.0,722.0,160.4,573.6,656.6,731.7,169.3,768.2,692.2,790.8,180.2,647.1,712.2,784.6
"어업",815.6,827.2,702.3,952.4,790.7,729.5,629.9,839.5,725.9,901.7,817.3,1035.8,751.3,879.2,632.6,798.1,595.9,561.0,499.0,609.7,596.5,679.0,466.2,710.8
"광공업",118121.4,130643.4,132959.3,126054.3,116560.9,125576.7,124741.1,120531.3,113010.6,118534.3,126315.5,124914.2,122696.8,132796.8,139981.4,136562.8,133958.8,144079.5,144569.1,133334.5,126032.3,133110.6,143405.9,143417.6
"광업",500.2,623.2,455.0,549.9,468.2,578.6,431.8,530.3,436.5,514.7,386.7,519.3,422.1,530.8,417.6,497.8,443.8,512.5,403.3,477.2,535.4,645.2,491.8,630.2
"제조업",117621.2,130020.2,132504.4,125504.4,116092.7,124998.1,124309.3,120001.1,112574.1,118019.6,125928.8,124394.9,122274.7,132266.0,139563.8,136065.1,133515.1,143566.9,144165.9,132857.3,125497.0,132465.4,142914.0,142787.3
"음식료품 제조업",6076.4,6095.7,5319.0,5865.4,6133.8,6529.8,5575.9,6179.8,6229.8,6484.3,6085.3,7007.9,6949.5,6796.0,5644.2,6390.5,6485.4,6616.5,5651.2,6665.4,7173.6,7376.3,7213.6,7630.6
"섬유 및 가죽제품 제조업",4181.3,4140.2,3398.3,4191.2,4189.1,4105.8,3339.4,4204.9,4184.8,3506.1,3381.3,4057.9,4125.0,3423.3,2831.7,3499.2,3698.5,3277.0,2745.5,3509.4,4181.4,3780.5,3423.5,3894.0
"목재, 종이, 인쇄 및 복제업",3530.2,4314.4,3181.4,4031.1,3593.1,4216.4,3086.8,3980.0,3476.1,4018.0,3048.4,3903.2,3430.4,4465.2,3310.4,4217.5,3736.6,4620.0,3190.2,3981.7,3699.3,4690.2,3477.4,4124.3
"코크스 및 석유정제품 제조업",3807.0,4916.6,3642.4,2491.1,3562.6,4062.9,3147.4,3048.8,1557.6,2419.4,1813.8,1882.0,2633.6,3326.2,4080.0,3833.7,6732.6,9374.0,6890.2,5254.0,7004.0,5219.4,9241.8,7163.7
"화학물질 및 화학제품 제조업",17350.7,19861.4,20879.4,17017.1,17786.0,19622.6,20551.1,16852.8,17537.9,19469.4,21405.3,19289.0,21437.7,23343.9,24337.0,21248.1,21415.3,22601.6,22673.8,19240.4,20559.2,21731.3,22249.5,19225.9
"비금속광물제품 제조업",3362.9,3750.8,2909.9,3073.7,3328.6,3589.6,2933.9,2879.1,3188.5,3312.3,2874.6,2885.4,3371.7,3364.8,2821.0,2566.7,3288.1,3344.0,3149.6,2726.5,3885.1,3949.2,3188.1,2908.5
"1차금속 제조업",6813.1,6841.2,7792.7,8044.9,6989.5,7023.6,7578.5,6850.7,6428.6,6353.1,7305.6,7322.8,7244.8,9958.1,12044.7,12217.8,12498.6,12779.5,11933.7,10000.9,10068.3,11172.5,11329.4,10368.7
"금속가공제품 제조업",8619.2,8470.7,7609.0,11483.5,8795.8,8794.1,7601.1,11670.2,8755.0,7717.5,7466.1,11178.0,8932.0,9166.2,8485.3,12328.1,9918.4,9784.4,9065.3,14547.6,10589.7,10494.3,9550.2,14948.4
"컴퓨터, 전자 및 광학기기 제조업",29609.0,38324.6,44896.6,35540.8,26034.0,32219.7,36321.6,29512.1,24718.4,32113.1,38046.7,32464.3,25923.3,35943.6,44359.3,40351.4,29232.2,39439.3,41582.8,31485.2,16087.0,24918.1,31300.4,33014.9
"전기장비 제조업",7491.1,6833.3,7362.0,7618.0,7919.6,7419.4,7794.7,7573.0,7983.0,7219.4,8012.4,8440.0,8917.2,7598.6,7891.5,8554.3,9145.2,7719.0,8933.3,9256.9,9739.7,8709.5,9968.2,10065.9
"기계 및 장비 제조업",11787.9,11189.4,10987.2,10289.8,11812.7,11121.9,11105.2,11231.8,12569.5,11082.9,11603.7,10994.1,12838.1,10972.4,11484.8,10227.1,12354.5,10198.6,12360.6,11538.8,13123.2,11064.6,12148.2,11978.7
"운송장비 제조업",11829.2,12370.9,11960.9,12596.4,12818.7,13540.8,13002.2,12784.5,12820.7,11587.0,12653.8,11782.1,13070.8,11185.2,10085.8,7585.4,11962.0,11152.9,13696.3,11349.2,15823.0,16420.4,16984.4,13853.3
"기타 제조업 및 산업용 장비 수리업",3163.4,2911.1,2565.7,3261.3,3129.2,2751.5,2271.6,3233.3,3124.1,2737.0,2231.9,3188.5,3400.5,2722.5,2188.1,3045.1,3047.6,2660.0,2293.4,3301.2,3563.5,2938.9,2839.3,3610.5
