﻿월,유종,Dubai,Brent,WTI,Oman
20년 01월,,64.32,63.67,57.53,64.71
02월,,54.23,55.48,50.54,54.52
03월,,33.71,33.73,30.45,34.02
04월,,20.39,26.63,16.70,20.49
05월,,30.47,32.41,28.53,30.75
06월,,40.80,40.77,38.31,40.85
07월,,43.30,43.22,40.77,43.41
08월,,44.00,45.02,42.39,44.22
09월,,41.51,41.87,39.63,41.58
10월,,40.67,41.52,39.55,40.99
11월,,43.42,43.98,41.35,43.75
12월,,49.84,50.22,47.07,49.99
21년 01월,,54.82,55.32,52.10,54.83
02월,,60.89,62.28,59.06,60.96
03월,,64.44,65.70,62.36,64.49
04월,,62.92,65.33,61.70,63.00
05월,,66.34,68.31,65.16,66.42
06월,,71.60,73.41,71.35,71.72
07월,,72.93,74.29,72.43,73.07
08월,,69.50,70.51,67.71,69.61
09월,,72.63,74.88,71.54,72.74
10월,,81.61,83.75,81.22,81.65
11월,,80.30,80.85,78.65,80.52
12월,,73.21,74.80,71.69,73.23
전월비,,-7.09,-6.05,-6.96,-7.29
전년동월비,,23.37,24.59,24.62,23.24
평균,,55.74,57.00,53.66,55.90
